,Access Order,ID,Name,Continent,Country,Web Link,Star Rating,Elevation Change (m),Base Elevation (m),Max Elevation (m),Total Piste Length (km),Blue Piste Length (km),Red Piste Length (km),Black Piste Length (km),Ski Lifts,Ski Pass Cost,Photo URL,Photo,Page Link
426,427,4194,San Domenico – Alpe Ciamporino,Europe,Italy,https://www.skiresort.info/ski-resort/san-domenico-alpe-ciamporino/,3.2,1080 m,1420 m,2500 m,32.6 km,5.7 km,12.8 km,14.1 km,5 ski lifts,"€ 35,-",https://www.skiresort.info/typo3temp/assets/_processed_/6a/ad/d4/47/668f9feea2.jpg,San_Domenico_–_Alpe_Ciamporino_IDresort4194.jpg,https://www.skiresort.info/ski-resorts/page/3/
427,428,27767,Thaiwoo,Asia,China,https://www.skiresort.info/ski-resort/thaiwoo/,3.2,510 m,1650 m,2160 m,20 km,6 km,8 km,6 km,4 ski lifts,,https://www.skiresort.info/typo3temp/_processed_/5c/c7/7e/e6/bf1f26071c.jpg,Thaiwoo_IDresort27767.jpg,https://www.skiresort.info/ski-resorts/page/3/
428,429,2124,Charmey,Europe,Switzerland,https://www.skiresort.info/ski-resort/charmey/,3.2,754 m,876 m,1630 m,30 km,19.5 km,7.5 km,3 km,5 ski lifts,"SFr. 41,- / approx. € 37,-",https://www.skiresort.info/typo3temp/assets/_processed_/9a/ac/cb/b9/c330d4279e.jpg,Charmey_IDresort2124.jpg,https://www.skiresort.info/ski-resorts/page/3/
429,430,4464,St. Jean Montclar,Europe,France,https://www.skiresort.info/ski-resort/st-jean-montclar/,3.2,1150 m,1350 m,2500 m,50 km,25 km,20 km,5 km,14 ski lifts,"€ 29,-",https://www.skiresort.info/typo3temp/assets/_processed_/48/84/48/85/4ff52677b1.jpg,St._Jean_Montclar_IDresort4464.jpg,https://www.skiresort.info/ski-resorts/page/3/
430,431,1745,Arizona Snowbowl,North America,USA,https://www.skiresort.info/ski-resort/arizona-snowbowl/,3.2,701 m,2804 m,3505 m,37 km,12 km,14 km,11 km,6 ski lifts,"US$ 99,- / approx. € 83,-",https://www.skiresort.info/typo3temp/assets/_processed_/cf/f3/3d/de/f4f71ce462.jpg,Arizona_Snowbowl_IDresort1745.jpg,https://www.skiresort.info/ski-resorts/page/3/
431,432,5063,Zao Onsen,Asia,Japan,https://www.skiresort.info/ski-resort/zao-onsen/,3.2,881 m,780 m,1661 m,50 km,20 km,20 km,10 km,38 ski lifts,"¥ 5000,- / approx. € 38,-",https://www.skiresort.info/typo3temp/assets/_processed_/d4/4a/a8/88/c3a8305594.jpg,Zao_Onsen_IDresort5063.jpg,https://www.skiresort.info/ski-resorts/page/3/
432,433,347,Glungezer – Tulfes,Europe,Austria,https://www.skiresort.info/ski-resort/glungezer-tulfes/,3.2,1354 m,950 m,2304 m,23 km,6.5 km,15.5 km,1 km,6 ski lifts,€ 36.50,https://www.skiresort.info/typo3temp/_processed_/bb/b0/07/76/f4adb15913.jpg,Glungezer_–_Tulfes_IDresort347.jpg,https://www.skiresort.info/ski-resorts/page/3/
433,434,1569,Gazprom Mountain Resort,Russia,Southern Russia,https://www.skiresort.info/ski-resort/gazprom-mountain-resort/,3.2,1307 m,949 m,2256 m,52.8 km,17.3 km,26.3 km,9.2 km,23 ski lifts,"RUB 3200,- / approx. € 36,-",https://www.skiresort.info/typo3temp/_processed_/31/16/67/7b/3812716144.jpg,Gazprom_Mountain_Resort_IDresort1569.jpg,https://www.skiresort.info/ski-resorts/page/3/
434,435,1453,Lipno,Europe,Czech Republic,https://www.skiresort.info/ski-resort/lipno/,3.2,190 m,710 m,900 m,13.5 km,10.9 km,2.1 km,0.5 km,4 ski lifts,"CZK 790,- / approx. € 30,-",https://www.skiresort.info/typo3temp/_processed_/88/81/1b/b7/7c6ad73e40.jpg,Lipno_IDresort1453.jpg,https://www.skiresort.info/ski-resorts/page/3/
435,436,319,Mt. Norquay – Banff,North America,Canada,https://www.skiresort.info/ski-resort/mt-norquay-banff/,3.2,503 m,1630 m,2133 m,16.4 km,5.1 km,4.1 km,7.2 km,4 ski lifts,"C$ 93,- / approx. € 63,-",https://www.skiresort.info/typo3temp/_processed_/d4/46/64/40/58cdda34d4.jpg,Mt._Norquay_–_Banff_IDresort319.jpg,https://www.skiresort.info/ski-resorts/page/3/
436,437,3166,SnowWorld Landgraaf (indoor ski area),Europe,Netherlands,https://www.skiresort.info/ski-resort/snowworld-landgraaf/,3.2,60 m,150 m,210 m,1.5 km,0.7 km,0.5 km,0.3 km,4 ski lifts,€ 48.50,https://www.skiresort.info/typo3temp/_processed_/19/9f/f6/62/26ccad1c59.jpg,SnowWorld_Landgraaf_(indoor_ski_area)_IDresort3166.jpg,https://www.skiresort.info/ski-resorts/page/3/
437,438,135,Gschwandtkopf – Seefeld,Europe,Austria,https://www.skiresort.info/ski-resort/gschwandtkopf-seefeld/,3.2,300 m,1200 m,1500 m,6.1 km,6.1 km,0 km,0 km,11 ski lifts,"€ 48,-",https://www.skiresort.info/typo3temp/_processed_/e6/6d/dc/cc/e9a8494d46.jpg,Gschwandtkopf_–_Seefeld_IDresort135.jpg,https://www.skiresort.info/ski-resorts/page/3/
438,439,87,Nordkette – Innsbruck,Europe,Austria,https://www.skiresort.info/ski-resort/nordkette-innsbruck/,3.2,1396 m,860 m,2256 m,13.9 km,0.5 km,13 km,0.4 km,5 ski lifts,"€ 40,-",https://www.skiresort.info/typo3temp/_processed_/1e/ed/d9/95/0015c36e8c.jpg,Nordkette_–_Innsbruck_IDresort87.jpg,https://www.skiresort.info/ski-resorts/page/3/
439,440,482,Jungholz,Europe,Austria,https://www.skiresort.info/ski-resort/jungholz/,3.2,442 m,1058 m,1500 m,10 km,7 km,3 km,0 km,7 ski lifts,€ 33.50,https://www.skiresort.info/typo3temp/_processed_/f7/72/2f/f5/d76ed33c02.jpg,Jungholz_IDresort482.jpg,https://www.skiresort.info/ski-resorts/page/3/
440,441,15,Ochsenkopf,Europe,Germany,https://www.skiresort.info/ski-resort/ochsenkopf/,3.2,365 m,659 m,1024 m,4.7 km,2.4 km,2.3 km,0 km,4 ski lifts,"€ 22,-",https://www.skiresort.info/typo3temp/_processed_/8e/e8/81/19/690926a9de.jpg,Ochsenkopf_IDresort15.jpg,https://www.skiresort.info/ski-resorts/page/3/
441,442,467,Valchiavenna – Madesimo/Campodolcino,Europe,Italy,https://www.skiresort.info/ski-resort/valchiavenna-madesimocampodolcino/,3.2,1398 m,1550 m,2948 m,37 km,15 km,19 km,3 km,12 ski lifts,"€ 43,-",https://www.skiresort.info/typo3temp/assets/_processed_/9f/f8/84/4c/9a90dc8475.jpg,Valchiavenna_–_Madesimo/Campodolcino_IDresort467.jpg,https://www.skiresort.info/ski-resorts/page/3/
442,443,466,Leysin,Europe,Switzerland,https://www.skiresort.info/ski-resort/leysin/,3.2,955 m,1250 m,2205 m,60 km,43 km,15 km,2 km,13 ski lifts,"SFr. 55,- / approx. € 50,-",https://www.skiresort.info/typo3temp/assets/_processed_/1e/e6/66/6d/bfa33e2198.jpg,Leysin_IDresort466.jpg,https://www.skiresort.info/ski-resorts/page/3/
443,444,394,Chapelco,South America,Argentina,https://www.skiresort.info/ski-resort/chapelco/,3.2,740 m,1230 m,1970 m,45 km,15 km,25 km,5 km,11 ski lifts,"ARS 3400,- / approx. € 31,-",https://www.skiresort.info/typo3temp/_processed_/cd/d2/2e/e6/8b337b15b0.jpg,Chapelco_IDresort394.jpg,https://www.skiresort.info/ski-resorts/page/3/
444,445,6038,Kolašin 1450/Kolašin 1600,Europe,Montenegro,https://www.skiresort.info/ski-resort/kolasin-1450kolasin-1600/,3.2,615 m,1420 m,2035 m,45 km,20 km,20 km,5 km,7 ski lifts,"€ 20,-",https://www.skiresort.info/typo3temp/assets/_processed_/4e/e2/2d/db/23d4be2ea9.jpg,Kolašin_1450/Kolašin_1600_IDresort6038.jpg,https://www.skiresort.info/ski-resorts/page/3/
445,446,1386,Super Sauze,Europe,France,https://www.skiresort.info/ski-resort/super-sauze/,3.2,1050 m,1400 m,2450 m,65 km,35 km,20 km,10 km,21 ski lifts,"€ 31,-",https://www.skiresort.info/typo3temp/assets/_processed_/46/6e/e4/46/06d8b95a59.jpg,Super_Sauze_IDresort1386.jpg,https://www.skiresort.info/ski-resorts/page/3/
446,447,1374,Le Lioran,Europe,France,https://www.skiresort.info/ski-resort/le-lioran/,3.2,690 m,1160 m,1850 m,60 km,30 km,20 km,10 km,17 ski lifts,€ 33.50,https://www.skiresort.info/typo3temp/assets/_processed_/ab/b1/1b/b0/cc3040fb25.jpg,Le_Lioran_IDresort1374.jpg,https://www.skiresort.info/ski-resorts/page/3/
447,448,1311,Les Angles,Europe,France,https://www.skiresort.info/ski-resort/les-angles/,3.2,776 m,1600 m,2376 m,55 km,22 km,23 km,10 km,17 ski lifts,€ 41.50,https://www.skiresort.info/typo3temp/assets/_processed_/43/31/11/1a/20edd32612.jpg,Les_Angles_IDresort1311.jpg,https://www.skiresort.info/ski-resorts/page/3/
448,449,2575,Gulmarg Resort (Kongdoori-Aferwat),Asia,India,https://www.skiresort.info/ski-resort/gulmarg-resort-kongdoori-aferwat/,3.2,1350 m,2600 m,3950 m,30 km,7.5 km,16.5 km,6 km,8 ski lifts,"Rs 1900,- / approx. € 22,-",https://www.skiresort.info/typo3temp/assets/_processed_/5d/d5/50/02/d4e95a805b.jpg,Gulmarg_Resort_(Kongdoori-Aferwat)_IDresort2575.jpg,https://www.skiresort.info/ski-resorts/page/3/
449,450,3846,Palandöken (Ejder 3200 World Ski Center),Asia,Turkey,https://www.skiresort.info/ski-resort/palandoeken-ejder-3200-world-ski-center/,3.2,976 m,2200 m,3176 m,43 km,19 km,11 km,13 km,13 ski lifts,,https://www.skiresort.info/typo3temp/_processed_/7c/cf/fa/ac/49d628fd8d.jpg,Palandöken_(Ejder_3200_World_Ski_Center)_IDresort3846.jpg,https://www.skiresort.info/ski-resorts/page/3/
450,451,451,Mt. Hutt,Australia and Oceania,New Zealand,https://www.skiresort.info/ski-resort/mt-hutt/,3.2,648 m,1438 m,2086 m,40 km,10 km,20 km,10 km,3 ski lifts,"NZ$ 107.10 / approx. € 65,-",https://www.skiresort.info/typo3temp/assets/_processed_/ac/c6/69/9f/8182c0aae3.jpg,Mt._Hutt_IDresort451.jpg,https://www.skiresort.info/ski-resorts/page/4/
451,452,3868,Mount Parnassos – Fterolakka/Kellaria,Europe,Greece,https://www.skiresort.info/ski-resort/mount-parnassos-fterolakkakellaria/,3.2,700 m,1600 m,2300 m,36 km,18 km,15 km,3 km,17 ski lifts,"€ 30,-",https://www.skiresort.info/typo3temp/_processed_/08/83/3b/b5/4c8723d5d3.jpg,Mount_Parnassos_–_Fterolakka/Kellaria_IDresort3868.jpg,https://www.skiresort.info/ski-resorts/page/4/
452,453,3577,Mt. Hood Skibowl,North America,USA,https://www.skiresort.info/ski-resort/mt-hood-skibowl/,3.2,390 m,1120 m,1510 m,65 km,15 km,15 km,35 km,9 ski lifts,"US$ 59,- / approx. € 50,-",https://www.skiresort.info/typo3temp/_processed_/f8/8d/d9/9c/0ed86e7e10.jpg,Mt._Hood_Skibowl_IDresort3577.jpg,https://www.skiresort.info/ski-resorts/page/4/
453,454,10768,Arkhyz,Russia,North Caucasus,https://www.skiresort.info/ski-resort/arkhyz/,3.2,854 m,1650 m,2504 m,24.5 km,16.4 km,4.3 km,3.8 km,5 ski lifts,,https://www.skiresort.info/typo3temp/assets/_processed_/0d/df/fb/b7/3f2d6a30ca.jpg,Arkhyz_IDresort10768.jpg,https://www.skiresort.info/ski-resorts/page/4/
454,455,4607,Takasu Snow Park,Asia,Japan,https://www.skiresort.info/ski-resort/takasu-snow-park/,3.2,600 m,950 m,1550 m,24 km,10.8 km,7 km,6.2 km,5 ski lifts,"¥ 4900,- / approx. € 38,-",https://www.skiresort.info/typo3temp/assets/_processed_/d1/16/6f/f6/ee53374bbb.jpg,Takasu_Snow_Park_IDresort4607.jpg,https://www.skiresort.info/ski-resorts/page/4/
455,456,1483,Grand Targhee,North America,USA,https://www.skiresort.info/ski-resort/grand-targhee/,3.2,738 m,2310 m,3048 m,35 km,5 km,15 km,15 km,4 ski lifts,"US$ 110,- / approx. € 92,-",https://www.skiresort.info/typo3temp/assets/_processed_/b1/12/2e/ea/8f88998330.jpg,Grand_Targhee_IDresort1483.jpg,https://www.skiresort.info/ski-resorts/page/4/
456,457,27597,Çambaşı,Asia,Turkey,https://www.skiresort.info/ski-resort/cambasi/,3.2,245 m,1753 m,1998 m,17.3 km,6.2 km,6.1 km,5 km,2 ski lifts,"TRY 70,- / approx. € 8,-",https://www.skiresort.info/typo3temp/assets/_processed_/cd/d4/4a/a7/afac8a0e99.jpg,Çambaşı_IDresort27597.jpg,https://www.skiresort.info/ski-resorts/page/4/
457,458,1568,Krasnaya Polyana Resort,Russia,Southern Russia,https://www.skiresort.info/ski-resort/krasnaya-polyana-resort/,3.2,1212 m,960 m,2172 m,30 km,7.5 km,20 km,2.5 km,13 ski lifts,"RUB 3800,- / approx. € 43,-",https://www.skiresort.info/typo3temp/assets/_processed_/94/4d/d9/98/15397bc6c2.jpg,Krasnaya_Polyana_Resort_IDresort1568.jpg,https://www.skiresort.info/ski-resorts/page/4/
458,459,11219,Tufandağ,Asia,Azerbaijan,https://www.skiresort.info/ski-resort/tufandag/,3.2,945 m,975 m,1920 m,17 km,7 km,5.5 km,4.5 km,4 ski lifts,"AZN 30,- / approx. € 14,-",https://www.skiresort.info/typo3temp/_processed_/1d/da/a3/37/40f13a6305.jpg,Tufandağ_IDresort11219.jpg,https://www.skiresort.info/ski-resorts/page/4/
459,460,1582,Keilberg (Klínovec),Europe,Czech Republic,https://www.skiresort.info/ski-resort/keilberg-klinovec/,3.2,481 m,763 m,1244 m,31.5 km,17.3 km,10.5 km,3.7 km,16 ski lifts,"CZK 850,- / approx. € 32,-",https://www.skiresort.info/typo3temp/_processed_/d6/6d/d7/7c/f9d29c8ad1.jpg,Keilberg_(Klínovec)_IDresort1582.jpg,https://www.skiresort.info/ski-resorts/page/4/
460,461,31,Oberaudorf – Hocheck,Europe,Germany,https://www.skiresort.info/ski-resort/oberaudorf-hocheck/,3.2,424 m,476 m,900 m,8 km,3 km,4 km,1 km,5 ski lifts,"€ 25,-",https://www.skiresort.info/typo3temp/_processed_/05/5f/f5/53/2aa4bc0b96.jpg,Oberaudorf_–_Hocheck_IDresort31.jpg,https://www.skiresort.info/ski-resorts/page/4/
461,462,276,Winterberg (Skiliftkarussell),Europe,Germany,https://www.skiresort.info/ski-resort/winterberg-skiliftkarussell/,3.2,190 m,630 m,820 m,27.5 km,14 km,12 km,1.5 km,21 ski lifts,"€ 39,-",https://www.skiresort.info/typo3temp/_processed_/a8/85/56/6a/dad070acab.jpg,Winterberg_(Skiliftkarussell)_IDresort276.jpg,https://www.skiresort.info/ski-resorts/page/4/
462,463,1289,Santa Caterina Valfurva,Europe,Italy,https://www.skiresort.info/ski-resort/santa-caterina-valfurva/,3.2,1158 m,1722 m,2880 m,20.5 km,1.4 km,15.5 km,3.6 km,6 ski lifts,"€ 44,-",https://www.skiresort.info/typo3temp/_processed_/82/2e/e0/0b/a0c6c4085b.jpg,Santa_Caterina_Valfurva_IDresort1289.jpg,https://www.skiresort.info/ski-resorts/page/4/
463,464,564,Zauberberg Semmering,Europe,Austria,https://www.skiresort.info/ski-resort/zauberberg-semmering/,3.2,365 m,985 m,1350 m,14 km,6.5 km,6.5 km,1 km,2 ski lifts,"€ 36,-",https://www.skiresort.info/typo3temp/_processed_/cb/bd/d9/95/c4f7e482aa.jpg,Zauberberg_Semmering_IDresort564.jpg,https://www.skiresort.info/ski-resorts/page/4/
464,465,605,Rangger Köpfl – Oberperfuss,Europe,Austria,https://www.skiresort.info/ski-resort/rangger-koepfl-oberperfuss/,3.2,1180 m,820 m,2000 m,13 km,7 km,4 km,2 km,5 ski lifts,"€ 33,-",https://www.skiresort.info/typo3temp/_processed_/7a/a8/81/19/6d7c8b9c38.jpg,Rangger_Köpfl_–_Oberperfuss_IDresort605.jpg,https://www.skiresort.info/ski-resorts/page/4/
465,466,1912,Snow Dome Bispingen (indoor ski area),Europe,Germany,https://www.skiresort.info/ski-resort/snow-dome-bispingen/,3.2,40 m,82 m,122 m,0.3 km,0.3 km,0 km,0 km,2 ski lifts,"€ 37,-",https://www.skiresort.info/typo3temp/_processed_/47/74/42/24/8946d7e471.jpg,Snow_Dome_Bispingen_(indoor_ski_area)_IDresort1912.jpg,https://www.skiresort.info/ski-resorts/page/4/
466,467,3794,Oppdal,Europe,Norway,https://www.skiresort.info/ski-resort/oppdal/,3.2,715 m,585 m,1300 m,56 km,40 km,7 km,9 km,17 ski lifts,"NOK 470,- / approx. € 47,-",https://www.skiresort.info/typo3temp/assets/_processed_/47/73/34/4b/1303706166.jpg,Oppdal_IDresort3794.jpg,https://www.skiresort.info/ski-resorts/page/4/
467,468,4190,Les Marécottes (Salvan),Europe,Switzerland,https://www.skiresort.info/ski-resort/les-marecottes-salvan/,3.2,1110 m,1110 m,2220 m,25 km,14 km,6 km,5 km,4 ski lifts,"SFr. 45,- / approx. € 41,-",https://www.skiresort.info/typo3temp/assets/_processed_/3e/e9/98/8a/7a6fb13a0c.jpg,Les_Marécottes_(Salvan)_IDresort4190.jpg,https://www.skiresort.info/ski-resorts/page/4/
468,469,2102,Maiko Snow Resort,Asia,Japan,https://www.skiresort.info/ski-resort/maiko-snow-resort/,3.2,660 m,260 m,920 m,30 km,12 km,12 km,6 km,12 ski lifts,"¥ 5000,- / approx. € 38,-",https://www.skiresort.info/typo3temp/_processed_/92/24/41/1c/143c19eaf9.jpg,Maiko_Snow_Resort_IDresort2102.jpg,https://www.skiresort.info/ski-resorts/page/4/
469,470,2728,Holiday Valley,North America,USA,https://www.skiresort.info/ski-resort/holiday-valley/,3.2,228 m,457 m,685 m,48 km,16 km,13 km,19 km,13 ski lifts,"US$ 85,- / approx. € 71,-",https://www.skiresort.info/typo3temp/_processed_/34/4a/a5/5c/2d8784f3ad.jpg,Holiday_Valley_IDresort2728.jpg,https://www.skiresort.info/ski-resorts/page/4/
470,471,1625,Abetone/Val di Luce,Europe,Italy,https://www.skiresort.info/ski-resort/abetoneval-di-luce/,3.2,652 m,1240 m,1892 m,44.1 km,14.2 km,28.6 km,1.3 km,15 ski lifts,"€ 40,-",https://www.skiresort.info/typo3temp/assets/_processed_/6f/f8/81/13/d9369d5e76.jpg,Abetone/Val_di_Luce_IDresort1625.jpg,https://www.skiresort.info/ski-resorts/page/4/
471,472,1456,Watles – Malles Venosta (Mals),Europe,Italy,https://www.skiresort.info/ski-resort/watles-malles-venosta-mals/,3.2,750 m,1750 m,2500 m,18 km,4 km,13 km,1 km,3 ski lifts,"€ 46,-",https://www.skiresort.info/typo3temp/_processed_/4b/bc/c6/66/2089ddde0c.jpg,Watles_–_Malles_Venosta_(Mals)_IDresort1456.jpg,https://www.skiresort.info/ski-resorts/page/4/
472,473,1833,Piani di Bobbio,Europe,Italy,https://www.skiresort.info/ski-resort/piani-di-bobbio/,3.2,610 m,1340 m,1950 m,35 km,15 km,10 km,10 km,8 ski lifts,"€ 35,-",https://www.skiresort.info/typo3temp/_processed_/c3/32/2d/db/07d0c15263.jpg,Piani_di_Bobbio_IDresort1833.jpg,https://www.skiresort.info/ski-resorts/page/4/
473,474,395,Las Leñas,South America,Argentina,https://www.skiresort.info/ski-resort/las-lenas/,3.2,1230 m,2200 m,3430 m,52 km,5 km,12 km,35 km,13 ski lifts,"ARS 3400,- / approx. € 31,-",https://www.skiresort.info/typo3temp/_processed_/42/28/85/56/85b17d5da3.jpg,Las_Leñas_IDresort395.jpg,https://www.skiresort.info/ski-resorts/page/4/
474,475,1265,Stevens Pass,North America,USA,https://www.skiresort.info/ski-resort/stevens-pass/,3.2,580 m,1170 m,1750 m,39 km,6 km,18 km,15 km,10 ski lifts,"US$ 100,- / approx. € 84,-",https://www.skiresort.info/typo3temp/assets/_processed_/ed/d0/06/66/3c7ff68127.jpg,Stevens_Pass_IDresort1265.jpg,https://www.skiresort.info/ski-resorts/page/4/
475,476,2318,Dynaland,Asia,Japan,https://www.skiresort.info/ski-resort/dynaland/,3.2,447 m,984 m,1431 m,30 km,12 km,9.6 km,8.4 km,5 ski lifts,"¥ 4900,- / approx. € 38,-",https://www.skiresort.info/typo3temp/assets/_processed_/a3/37/71/1d/42b1cdc654.jpg,Dynaland_IDresort2318.jpg,https://www.skiresort.info/ski-resorts/page/4/
476,477,2072,Cannon Mountain,North America,USA,https://www.skiresort.info/ski-resort/cannon-mountain/,3.2,644 m,599 m,1243 m,50 km,15 km,25 km,10 km,11 ski lifts,"US$ 79,- / approx. € 66,-",https://www.skiresort.info/typo3temp/assets/_processed_/e7/74/41/17/9b9a3dea4c.jpg,Cannon_Mountain_IDresort2072.jpg,https://www.skiresort.info/ski-resorts/page/4/
477,478,1816,Bakuriani,Asia,Georgia,https://www.skiresort.info/ski-resort/bakuriani/,3.2,1061 m,1641 m,2702 m,29 km,2.3 km,13.2 km,13.5 km,20 ski lifts,"GEL 40,- / approx. € 10,-",https://www.skiresort.info/typo3temp/assets/_processed_/60/02/2a/a9/e2026fce42.jpg,Bakuriani_IDresort1816.jpg,https://www.skiresort.info/ski-resorts/page/4/
478,479,3280,Lutsen Mountains,North America,USA,https://www.skiresort.info/ski-resort/lutsen-mountains/,3.2,252 m,263 m,515 m,40 km,8 km,19 km,13 km,7 ski lifts,"US$ 84,- / approx. € 71,-",https://www.skiresort.info/typo3temp/assets/_processed_/95/54/4a/a4/bef1a3f5be.jpg,Lutsen_Mountains_IDresort3280.jpg,https://www.skiresort.info/ski-resorts/page/4/
479,480,1380,Le Lys – Cauterets,Europe,France,https://www.skiresort.info/ski-resort/le-lys-cauterets/,3.2,685 m,1730 m,2415 m,36 km,21 km,12 km,3 km,8 ski lifts,€ 38.50,https://www.skiresort.info/typo3temp/assets/_processed_/1f/f3/3b/b1/886793edf3.jpg,Le_Lys_–_Cauterets_IDresort1380.jpg,https://www.skiresort.info/ski-resorts/page/4/
480,481,549,Eldora Mountain,North America,USA,https://www.skiresort.info/ski-resort/eldora-mountain/,3.1,488 m,2804 m,3292 m,52 km,11 km,26 km,15 km,10 ski lifts,"US$ 129,- / approx. € 108,-",https://www.skiresort.info/typo3temp/_processed_/46/6f/f3/31/3adf771b54.jpg,Eldora_Mountain_IDresort549.jpg,https://www.skiresort.info/ski-resorts/page/4/
481,482,1274,Stuhleck – Spital am Semmering,Europe,Austria,https://www.skiresort.info/ski-resort/stuhleck-spital-am-semmering/,3.1,997 m,777 m,1774 m,26 km,20 km,6 km,0 km,11 ski lifts,€ 47.50,https://www.skiresort.info/typo3temp/assets/_processed_/22/22/2e/e2/176eac0cbc.jpg,Stuhleck_–_Spital_am_Semmering_IDresort1274.jpg,https://www.skiresort.info/ski-resorts/page/4/
482,483,579,Whitewater – Nelson,North America,Canada,https://www.skiresort.info/ski-resort/whitewater-nelson/,3.1,623 m,1380 m,2003 m,50 km,10 km,20 km,20 km,4 ski lifts,"C$ 99.75 / approx. € 67,-",https://www.skiresort.info/typo3temp/_processed_/24/4c/cb/b0/e48854c002.jpg,Whitewater_–_Nelson_IDresort579.jpg,https://www.skiresort.info/ski-resorts/page/4/
483,484,103,Hochkössen (Unterberghorn) – Kössen,Europe,Austria,https://www.skiresort.info/ski-resort/hochkoessen-unterberghorn-koessen/,3.1,1071 m,619 m,1690 m,22.7 km,10.5 km,9.2 km,3 km,12 ski lifts,"€ 41,-",https://www.skiresort.info/typo3temp/_processed_/c7/74/4a/a0/518ec6acac.jpg,Hochkössen_(Unterberghorn)_–_Kössen_IDresort103.jpg,https://www.skiresort.info/ski-resorts/page/4/
484,485,1854,Beitostølen Skisenter,Europe,Norway,https://www.skiresort.info/ski-resort/beitostoelen-skisenter/,3.1,207 m,900 m,1107 m,12 km,9 km,3 km,0 km,7 ski lifts,"NOK 445,- / approx. € 44,-",https://www.skiresort.info/typo3temp/_processed_/2f/f8/8f/fa/0b865819be.jpg,Beitostølen_Skisenter_IDresort1854.jpg,https://www.skiresort.info/ski-resorts/page/4/
485,486,184,Leukerbad,Europe,Switzerland,https://www.skiresort.info/ski-resort/leukerbad/,3.1,1199 m,1411 m,2610 m,47.5 km,3.5 km,27 km,17 km,13 ski lifts,"SFr. 58,- / approx. € 52,-",https://www.skiresort.info/typo3temp/assets/_processed_/f2/2e/ef/f6/1000ed67eb.jpg,Leukerbad_IDresort184.jpg,https://www.skiresort.info/ski-resorts/page/4/
486,487,4847,Vals 3000 – Dachberg,Europe,Switzerland,https://www.skiresort.info/ski-resort/vals-3000-dachberg/,3.1,1655 m,1286 m,2941 m,25 km,5 km,15 km,5 km,5 ski lifts,"SFr. 33,- / approx. € 30,-",https://www.skiresort.info/typo3temp/_processed_/ae/ec/cc/cd/0892cce2c2.jpg,Vals_3000_–_Dachberg_IDresort4847.jpg,https://www.skiresort.info/ski-resorts/page/4/
487,488,302,Loveland,North America,USA,https://www.skiresort.info/ski-resort/loveland/,3.1,626 m,3245 m,3871 m,93 km,12 km,38 km,43 km,9 ski lifts,"US$ 89,- / approx. € 75,-",https://www.skiresort.info/typo3temp/_processed_/57/77/7c/cc/27c03f8382.jpg,Loveland_IDresort302.jpg,https://www.skiresort.info/ski-resorts/page/4/
488,489,1960,Boí Taüll,Europe,Spain,https://www.skiresort.info/ski-resort/boi-tauell/,3.1,731 m,2020 m,2751 m,41.3 km,10 km,22.7 km,8.6 km,7 ski lifts,"€ 39,-",https://www.skiresort.info/typo3temp/_processed_/86/61/1d/da/46cb1632a8.jpg,Boí_Taüll_IDresort1960.jpg,https://www.skiresort.info/ski-resorts/page/4/
489,490,1363,Praz de Lys/Sommand (Taninges/Mieussy),Europe,France,https://www.skiresort.info/ski-resort/praz-de-lyssommand-taningesmieussy/,3.1,726 m,1240 m,1966 m,55 km,29 km,20 km,6 km,21 ski lifts,"€ 30,-",https://www.skiresort.info/typo3temp/assets/_processed_/c7/70/0d/d9/c9d039d308.jpg,Praz_de_Lys/Sommand_(Taninges/Mieussy)_IDresort1363.jpg,https://www.skiresort.info/ski-resorts/page/4/
490,491,3189,Le Seignus,Europe,France,https://www.skiresort.info/ski-resort/le-seignus/,3.1,926 m,1500 m,2426 m,50 km,25 km,20 km,5 km,9 ski lifts,"€ 29,-",https://www.skiresort.info/typo3temp/assets/_processed_/9d/d9/95/5a/28fb22861d.jpg,Le_Seignus_IDresort3189.jpg,https://www.skiresort.info/ski-resorts/page/4/
491,492,4699,Togakushi,Asia,Japan,https://www.skiresort.info/ski-resort/togakushi/,3.1,528 m,1220 m,1748 m,25 km,7.5 km,10 km,7.5 km,7 ski lifts,"¥ 4500,- / approx. € 35,-",https://www.skiresort.info/typo3temp/assets/_processed_/e9/93/3b/b2/a50db06154.jpg,Togakushi_IDresort4699.jpg,https://www.skiresort.info/ski-resorts/page/4/
492,493,4757,Tsugaike Kogen,Asia,Japan,https://www.skiresort.info/ski-resort/tsugaike-kogen/,3.1,904 m,800 m,1704 m,25 km,13.5 km,6.5 km,5 km,18 ski lifts,"¥ 5500,- / approx. € 42,-",https://www.skiresort.info/typo3temp/assets/_processed_/25/5c/c4/4e/ac182e344d.jpg,Tsugaike_Kogen_IDresort4757.jpg,https://www.skiresort.info/ski-resorts/page/4/
493,494,3923,Pico Mountain,North America,USA,https://www.skiresort.info/ski-resort/pico-mountain/,3.1,599 m,610 m,1209 m,30.4 km,5.4 km,14 km,11 km,7 ski lifts,"US$ 85,- / approx. € 71,-",https://www.skiresort.info/typo3temp/_processed_/0c/cd/d8/84/a5cc7880d4.jpg,Pico_Mountain_IDresort3923.jpg,https://www.skiresort.info/ski-resorts/page/4/
